"h","iTest","fmethod","dset","calibration50","calibration80","mseBase","mseCombMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
1,1,"ets","infantgts",NA,NA,465.602252187534,NA,287.72827708687,442.453880725321,374.040109663258,454.818498812024,401.015976132716
1,2,"ets","infantgts",NA,NA,410.081281199342,NA,270.288379804331,396.558007092753,346.002232093942,400.115404626609,366.812778059282
1,3,"ets","infantgts",NA,NA,155.204249584365,NA,327.462334301239,144.839042263125,139.239545408389,152.723764954119,138.955343938386
1,4,"ets","infantgts",NA,NA,1175.64094318681,NA,621.182854189935,1046.08818013471,766.210026225457,1117.03557405035,873.958869072536
1,5,"ets","infantgts",NA,NA,2182.02834916914,NA,4090.3453294424,2116.70948595583,1927.97821997812,2145.33814356546,1981.96847727241
1,6,"ets","infantgts",NA,NA,849.612110888454,NA,234.463661083273,897.162243945179,1142.90864046168,884.783022070169,1039.79087663259
1,7,"ets","infantgts",NA,NA,1235.13332004936,NA,624.109140602868,1234.9652659774,1266.66530869358,1235.11854427637,1245.13531418867
1,8,"ets","infantgts",NA,NA,206.046861261885,NA,537.609380435757,195.88774374599,193.575347547289,202.827087353982,194.882806324685
1,9,"ets","infantgts",NA,NA,570.558284609215,NA,206.64575575772,613.482807117801,921.954785795233,604.613404951384,797.483911435721
1,10,"ets","infantgts",NA,NA,653.698786749923,NA,491.597277803293,795.236129725241,1482.98233140574,709.156716863263,1164.8034497592
1,11,"ets","infantgts",NA,NA,4717.20245714216,NA,4682.62268055666,4788.35780114632,4986.3717131211,4764.32898060297,4981.96796509207
1,12,"ets","infantgts",NA,NA,596.085656173221,NA,652.479277842795,612.856236187139,798.005992197359,594.878300239647,699.880293112832
1,13,"ets","infantgts",NA,NA,6143.27344325453,NA,6005.93021300445,5879.8640911588,5092.51300581231,6023.86569881565,5411.58724300782
1,14,"ets","infantgts",NA,NA,1579.86961978095,NA,1600.55269027783,1552.03923300492,1556.95511166317,1575.74881581827,1544.79869806564
1,15,"ets","infantgts",NA,NA,1407.46163566122,NA,1327.26123726965,1372.46363777888,1247.27868196022,1389.55926818747,1304.66974565053
1,16,"ets","infantgts",NA,NA,213.632410282858,NA,234.296758293081,209.400100740727,210.229540350616,213.085621563033,206.217445628715
1,17,"ets","infantgts",NA,NA,352.695258885817,NA,698.195475044768,383.315057819402,676.53938335995,367.068194764244,529.121183709279
1,18,"ets","infantgts",NA,NA,6157.44046637238,NA,6417.50361610058,5491.95721667939,3652.09926409812,5827.84631447587,4442.25128867599
1,19,"ets","infantgts",NA,NA,5947.24557712985,NA,6628.11467224679,5737.68180739125,5135.33574414095,5814.10962046057,5340.85835143146
1,20,"ets","infantgts",NA,NA,2844.48410565134,NA,3596.01811569336,2918.90307294327,3258.2513498267,2915.2966272164,3150.36200157941
1,21,"ets","infantgts",NA,NA,1769.9914686028,NA,1753.6587957807,1762.50262389981,1810.55964397869,1767.60766981174,1761.32970572062
1,22,"ets","infantgts",NA,NA,1425.70011858275,NA,3527.75856551983,1348.38915085818,1144.21085823413,1370.74166334768,1188.65045984271
1,23,"ets","infantgts",NA,NA,831.773736142041,NA,442.868738740109,915.442239182528,1365.50263642592,878.308353131507,1142.09931932613
1,24,"ets","infantgts",NA,NA,1247.32457654892,NA,961.942438963002,1465.39229978327,2472.05288310685,1342.59903849086,1965.39058856597
1,25,"ets","infantgts",NA,NA,3569.26491705519,NA,2998.40927198737,3925.72044608034,5535.34115804805,3764.87877115244,4847.23680042556
1,26,"ets","infantgts",NA,NA,1405.54128942141,NA,2376.77109263317,1840.49366376697,3588.72258591131,1508.69332824991,2764.34089202844
1,27,"ets","infantgts",NA,NA,10306.1464420761,NA,11820.6915606703,11432.8876171118,17217.5386465577,10199.9664772342,14645.9894753575
1,28,"ets","infantgts",NA,NA,5578.75808196104,NA,8735.05375795879,6709.97557130913,14830.0463780308,5259.39200084446,11093.4850535117
1,29,"ets","infantgts",NA,NA,29890.225498458,NA,35634.3977829788,32587.3515159665,42624.2674043807,29759.5296071332,38409.184876916
1,30,"ets","infantgts",NA,NA,3165.45419661816,NA,4648.74397655072,3770.74564719327,7509.19249647483,2965.04041375326,5901.16882086917
1,31,"ets","infantgts",NA,NA,12527.0061648167,NA,13419.5037180735,13258.0556880191,15369.0671684263,12493.0779327974,14400.9010279395
1,32,"ets","infantgts",NA,NA,7344.24079591696,NA,4733.47207462593,6391.74610471215,4601.94423074121,7294.87306541263,5204.18830743807
1,33,"ets","infantgts",NA,NA,4343.71579090424,NA,5030.29254613978,4686.23508098703,6318.33998444281,4283.64471279806,5680.08912113489
1,34,"ets","infantgts",NA,NA,3874.91663324784,NA,5830.15742206712,4290.28444399948,6744.17985206909,3768.50173744649,5577.97745868444
1,35,"ets","infantgts",NA,NA,4283.05496709501,NA,6196.25263647499,4655.25760437411,5883.73657787446,4256.41754172845,5251.69823031694
1,36,"ets","infantgts",NA,NA,1940.74977083453,NA,1872.46077597639,1939.61250293693,1954.38021085576,1934.35353987036,1917.51915598476
1,37,"ets","infantgts",NA,NA,2411.28827345293,NA,1470.19927305197,1597.35189053141,1628.25749382354,2270.785247788,1398.60925302544
1,38,"ets","infantgts",NA,NA,2121.2496744947,NA,4820.01351765229,2851.42567161294,7052.56824692211,1856.3887981094,5200.28369766086
1,39,"ets","infantgts",NA,NA,11479.7972929695,NA,13323.0672722038,12263.6554786938,14437.0193504933,11446.8706380904,13527.6242767579
1,40,"ets","infantgts",NA,NA,7429.073595657,NA,8961.32862180497,7709.98985683949,8620.88499822018,7419.26855487375,8098.41125321793
1,41,"ets","infantgts",NA,NA,2673.1989170248,NA,2270.54491533501,2529.23465869255,2129.77427279803,2664.59607162125,2291.50074855246
1,42,"ets","infantgts",NA,NA,1816.45069863426,NA,1649.16844161683,1786.98276172765,1712.21993745028,1811.49019788945,1693.02718967691
1,43,"ets","infantgts",NA,NA,391.872874033683,NA,360.787870091574,368.734211738134,376.156288793389,387.347105983964,361.232301865074
1,44,"ets","infantgts",NA,NA,3141.17659266812,NA,2750.61710973728,3035.37367680723,2993.28220508262,3121.2520435453,3034.60830572096
1,45,"ets","infantgts",NA,NA,6959.7120052231,NA,4674.9426622557,6166.32952567848,4364.64245080673,6906.21763187641,4924.79757661654
1,46,"ets","infantgts",NA,NA,2748.24530231125,NA,2902.91069543412,2789.47920880648,3020.6756797444,2730.99856909643,2973.3145331506
1,47,"ets","infantgts",NA,NA,1808.07552400347,NA,1370.88660757296,1615.3529889099,1236.3212514131,1770.91535522153,1310.52552746383
1,48,"ets","infantgts",NA,NA,2717.4099592097,NA,2159.19100098602,2301.80392739237,3182.71931451575,2562.19845297583,2623.067074256
1,49,"ets","infantgts",NA,NA,1287.02699075963,NA,1467.54003953153,1138.00744474923,3313.30883446493,1046.40541554994,2331.30190809048
