"h","iTest","fmethod","dset","calibration50","calibration80","mseBase","mseCombMintSample","mseCombMintShr","mseBayesDiag","mseBayesSample","mseBayesGlasso","mseBayesShr"
1,1,"ets","infantgts",NA,NA,465.602252187534,NA,287.72827708687,414.705079917489,411.151980292727,483.565429253185,406.208011092162
1,2,"ets","infantgts",NA,NA,410.081281199342,NA,270.288379804331,377.917071105777,363.371001913806,416.550050932369,365.149347043771
1,3,"ets","infantgts",NA,NA,155.204249584365,NA,327.462334301239,137.456493628481,147.796778088191,159.609772368391,142.088914530825
1,4,"ets","infantgts",NA,NA,1175.64094318681,NA,621.182854189935,896.832094038669,954.245667020273,1258.39151750296,876.094546399858
1,5,"ets","infantgts",NA,NA,2182.02834916914,NA,4090.3453294424,2024.15725106682,2022.65543570704,2259.18198639142,1984.88465922304
1,6,"ets","infantgts",NA,NA,849.612110888454,NA,234.463661083273,984.622895416455,1014.2913410588,808.254044708042,1033.84004017971
1,7,"ets","infantgts",NA,NA,1235.13332004936,NA,624.109140602868,1218.24781091512,1232.77727344187,1197.17335117513,1216.15207304565
1,8,"ets","infantgts",NA,NA,206.046861261885,NA,537.609380435757,189.457074118139,192.121845212213,207.309945893263,194.382317813372
1,9,"ets","infantgts",NA,NA,570.558284609215,NA,206.64575575772,714.386595250035,705.939646516623,516.877245022185,737.692384662529
1,10,"ets","infantgts",NA,NA,653.698786749923,NA,491.597277803293,1042.60396879807,997.417906023973,508.003547645785,1100.61067240874
1,11,"ets","infantgts",NA,NA,4717.20245714216,NA,4682.62268055666,4914.21078895664,4967.86479870353,4668.90230892532,5012.66458628013
1,12,"ets","infantgts",NA,NA,596.085656173221,NA,652.479277842795,677.736072904628,623.329378390548,572.288853318462,677.787558712961
1,13,"ets","infantgts",NA,NA,6143.27344325453,NA,6005.93021300445,5549.03128165982,5674.43581723389,6367.48463164349,5487.67665974746
1,14,"ets","infantgts",NA,NA,1579.86961978095,NA,1600.55269027783,1532.92493851593,1591.1048167332,1611.61830426295,1559.73638000803
1,15,"ets","infantgts",NA,NA,1407.46163566122,NA,1327.26123726965,1327.8187084383,1336.5456939819,1442.02692936858,1313.7036495196
1,16,"ets","infantgts",NA,NA,213.632410282858,NA,234.296758293081,205.708769334731,210.541468215448,215.249284163957,206.740845897037
1,17,"ets","infantgts",NA,NA,352.695258885817,NA,698.195475044768,487.759514551004,473.041604922013,277.386038458391,517.512165543882
1,18,"ets","infantgts",NA,NA,6157.44046637238,NA,6417.50361610058,4765.35277099544,5187.0140521357,6751.96901252172,4639.48895031438
1,19,"ets","infantgts",NA,NA,5947.24557712985,NA,6628.11467224679,5459.09884580244,5426.18390774126,6124.8469569771,5334.80437067743
1,20,"ets","infantgts",NA,NA,2844.48410565134,NA,3596.01811569336,3074.52629453294,3071.74568776204,2809.93861778168,3170.42812764627
1,21,"ets","infantgts",NA,NA,1769.9914686028,NA,1753.6587957807,1756.56810116805,1737.84843769794,1775.89435262995,1754.75375838264
1,22,"ets","infantgts",NA,NA,1425.70011858275,NA,3527.75856551983,1235.21455605662,1222.28053834687,1450.53697132513,1178.86777195314
